,mean_intensity,std_dev,min_val,max_val,brightness
count,2400.0,2400.0,2400.0,2400.0,2400.0
mean,175.61101869475004,53.5635033074114,13.483333333333333,252.42791666666668,187.10156127214535
std,36.129631453049775,26.759240064200892,28.99498550408987,6.6520604418059435,31.035035528234303
min,85.58046343537416,7.125462116294915,0.0,225.0,98.97350401085983
25%,148.43364191379678,33.49551590912945,0.0,255.0,162.77929660223282
50%,179.36064386692178,52.1613596535151,0.0,255.0,194.48901105807693
75%,205.1666865965136,78.86222963617278,0.0,255.0,209.06598622024848
max,240.6084117240646,96.61939649165758,124.0,255.0,241.0604254533242
