,precision,recall,f1-score,support
Critical,0.3778705636743215,0.6753731343283582,0.48460508701472554,268.0
High,0.3923611111111111,0.31129476584022037,0.34715821812596004,363.0
Low,0.6013745704467354,0.48342541436464087,0.5359877488514548,362.0
Medium,0.44508670520231214,0.3746958637469586,0.40686922060766184,411.0
accuracy,0.44373219373219375,0.44373219373219375,0.44373219373219375,0.44373219373219375
macro avg,0.45417323760862,0.4611972945700445,0.4436550686499506,1404.0
weighted avg,0.4589206728902564,0.44373219373219375,0.4395608342262433,1404.0
